Dog_ID,Date1,Date2,Date3,EDF1,EDF2,EDF3,Cal_tar1,Cal_tar2,Cal_tar3,Name,Breed,sex,neutered,birth_date,age,condition_first,condition_second,condition_third,age_dog_first,age_humanw_first,age_humano_first,sex_dog_first,sex_humanw_first,sex_humano_first,comment
01,15/9/2021,21/09/2021,29/09/2021,Beny_1,Beny_2,Beny_3,w_minion32,w_fly32,w_minion32,Beny,Mix,m,yes,28/4/2019,28,dog,human_within,human_outside,,,,,,,
02,16/9/2021,30/09/2021,04/10/2021,George_1,George_2,George_3,w_calibug32,w_calibug32,w_fly32,George4,Collie,m,no,12/4/2019,29,human_within,dog,human_outside,,,,,,,
03,29/9/2021,06/10/2021,13/10/2021,Georgia1,Georgia2,Georgia3/Georgia4,w_minion64,w_minion64,w_minion32,Georgia,Labrador Retriever,f,yes,29/12/2017,45,dog,human_outside,human_within,,,,,,,Session 3: Georgia3: she left the chin rest at the very end of trial 4 so I repeated 1 trial in Georgia4
04,15/9/2021,21/09/2021,30/09/2021,Timo_1,Timo_2,Timo_3,w_fly32,w_fly32,w_fly32,Timo2,Mix,m,yes,1/2/2019,31,dog,human_within,human_outside,,,,,,,
05,16/9/2021,08/10/2021,14/10/2021,Melody_1,Melody_2,Melody_3,w_minion32,w_minion32,w_minion32,Melody,Labrador Retriever,f,yes,14/8/2018,37,human_outside,human_within,dog,,,,,,,
06,15/9/2021,21/09/2021,26/10/2021,Hetti_1,Hetti_2,Hetti_3,w_cuckoo32,w_cuckoo32,w_cuckoo32,Hetti,Mix,f,no,10/1/2019,32,human_within,human_outside,dog,,,,,,,
07,27/9/2021,04/10/2021,18/10/2021,Lilly_1,Lilly_2,Lilly_3,w_minion32,w_minion32,w_fly32,Lilly9,Mix,f,yes,7/9/2017,48,dog,human_outside,human_within,,,,,,,
08,24/9/2021,27/09/2021,01/10/2021,Maylo_1,Maylo_2,Maylo_3,w_minion64,w_minion64,w_fly64,Maylo,Mix,m,yes,13/11/2015,70,human_outside,human_within,dog,,,,,,,
09,17/9/2021,23/09/2021,28/09/2021,Asta_1,Asta_2,Asta_3,w_minion32,w_minion32,w_fly64,Asta2,Border Collie,f,no,5/10/2018,35,human_outside,dog,human_within,,,,,,,
10,14/9/2021,21/09/2021,28/09/2021,Joker_1,Joker_2,Joker_3,w_minion64,w_fly64,w_fly64,Joker4,Australian Shepherd,m,no,18/8/2016,60,human_outside,human_within,dog,,,,,,,
11,30/9/2021,04/10/2021,12/10/2021,Zserbo_1,Zserbo_2,Zserbo_3,w_fly32,w_minion32,w_minion32,Zserbo,Small Münsterländer,m,yes,24/12/2019,21,human_within,dog,human_outside,,,,,,,
12,20/10/2021,28/10/2021,05/11/2021,Lenny_1,Lenny_2,Lenny_3,w_minion64,w_minion64,w_minion64,Lenny4,Canarian Warren Hound,m,yes,15/7/2014,87,dog,human_outside,human_within,,,,,,,
13,6/11/2021,27/11/2021,30/11/2021,Amy_1,Amy_2,Amy_3,w_cuckoo64,w_cuckoo64,w_minion64,Amy8,Border Collie,f,no,12/3/2010,139,human_within,dog,human_outside,47.8,55.25,50.5,3m;2f,2 m; 2 f,2 m; 2 f,
14,16/9/2021,23/9/2021,28/9/2021,Ace_1/Ace_2,Ace_3,Ace_4,w_fly32/w_cuckoo32,w_calibug32,w_cuckoo32,Ace3,Border Collie,m,yes,15/3/2019,30,human_within,dog,human_outside,,,,,,,Session 1: Ace_1: trial 1; Ace_2: 3 trials
15,9/8/2021,,,,,,,,,Sheila,Mix,f,no,1/12/2012,104,dog,human_outside,human_within,,,,,,,
16,13/10/2021,21/10/2021,28/10/2021,Schnee1,Schnee_2,Schnee_3,w_minion24,w_minion24,w_minion24,Schnee,Mix,m,yes,14/9/2014,84,human_outside,dog,human_within,,,,,,,
17,24/11/2021,01/12/2021,05/12/2021,Knopfi_1,Knopfi_2,Knopfi_3,w_cuckoo32,w_cuckoo32,w_cuckoo32,Knopfi,Australian Shepherd,m,yes,26/9/2016,61,human_within,human_outside,dog,,,,,,,
18,9/8/2021,,,,,,,,,Nutela,Border Collie,f,no,26/4/2017,51,human_outside,dog,human_within,57.16666667,52,56.16666667,3m;3f,4 m; 2 f,3 m; 3 f,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
